Loop,Interval,Average
0,0,0
0,0,0
1,102,0
2,103,103
3,101,103
4,102,103
5,102,103
6,106,103
7,99,103
8,102,103
9,101,103
10,102,103
11,102,103
12,102,103
13,102,103
14,102,103
15,102,103
16,0,97
17,102,97
18,102,97
19,102,97
20,104,97
21,100,97
22,204,101
23,102,101
24,205,105
25,103,105
26,102,105
27,102,105
28,102,105
29,102,105
30,102,105
31,102,105
32,102,105
33,102,105
34,103,105
35,106,105
36,98,105
37,101,105
38,102,105
39,103,105
40,101,105
41,102,105
42,102,105
43,29,104
44,72,104
45,103,104
46,102,104
47,102,104
